,wiki_db,N_pages,N_sitelinks,fraction_sitelinks
0,enwiki,6046911,6028510,0.9969569586851865
1,cebwiki,5378782,4763077,0.8855307762984259
2,svwiki,3735863,3731624,0.9988653224168017
3,dewiki,2414815,2409645,0.997859049243938
4,frwiki,2195756,2191171,0.9979118809193736
5,nlwiki,2003741,2002742,0.9995014325703772
6,ruwiki,1609780,1603723,0.9962373740511126
7,itwiki,1593811,1590157,0.9977073818664823
8,eswiki,1535435,1532170,0.9978735667742367
9,plwiki,1398843,1393326,0.9960560263017365
10,warwiki,1264174,1264138,0.9999715229074478
11,viwiki,1243137,1241859,0.9989719556251644
12,jawiki,1197763,1193359,0.9963231457308332
13,zhwiki,1108161,1102291,0.994702935764749
14,arwiki,1036757,1035012,0.9983168669225286
15,ptwiki,1026868,1024812,0.9979977952375573
16,ukwiki,1003350,998230,0.9948970947326456
17,specieswiki,727056,709571,0.9759509583855989
18,fawiki,717073,715463,0.9977547613701813
19,cawiki,642021,641217,0.9987477045143384
20,srwiki,632133,630645,0.9976460649894879
21,nowiki,531478,529304,0.9959095202435473
22,idwiki,527227,521300,0.9887581629924113
23,kowiki,490275,485718,0.9907052164601499
24,fiwiki,481842,480234,0.9966628064801325
25,huwiki,467349,466775,0.9987717958099835
26,shwiki,451399,451254,0.9996787764261773
27,cswiki,449805,449555,0.9994442035993375
28,rowiki,405633,405426,0.9994896864900045
29,euwiki,350986,350001,0.9971936202583579
30,zh_min_nanwiki,350747,347688,0.9912786139296986
31,trwiki,345989,345091,0.9974045417628884
32,mswiki,337042,336335,0.9979023385809483
33,eowiki,277116,276915,0.9992746719785216
34,hywiki,267076,266469,0.997727238688613
35,hewiki,261581,260792,0.9969837258822315
36,bgwiki,260842,260740,0.9996089586799671
37,dawiki,258066,257939,0.9995078778297025
38,cewiki,254462,252429,0.9920105949021858
39,arzwiki,253114,252697,0.9983525209984434
40,incubatorwiki,247815,9,3.631741420010895e-05
41,azbwiki,239005,238299,0.9970460869019476
42,skwiki,232912,232679,0.9989996221748987
43,kkwiki,230483,229013,0.993622089264718
44,minwiki,224124,223657,0.9979163320304831
45,etwiki,207248,205610,0.9920964255384853
46,hrwiki,199564,196292,0.9836042572808723
47,ltwiki,196930,196240,0.9964962169298736
48,testwikidatawiki,193830,0,0.0
49,bewiki,187622,187553,0.9996322392896355
50,elwiki,175841,175034,0.9954106266456628
51,slwiki,167618,167597,0.9998747151260604
52,glwiki,162754,162341,0.9974624279587598
53,simplewiki,158026,157539,0.9969182286459191
54,azwiki,157537,155963,0.9900086963697418
55,urwiki,154820,154149,0.9956659346337683
56,nnwiki,152098,151886,0.9986061618167235
57,hiwiki,141168,139849,0.9906565227246968
58,thwiki,136452,135792,0.9951631342889807
59,kawiki,136017,133546,0.98183315320879
60,uzwiki,134755,133032,0.987213832510853
61,tawiki,133411,132861,0.9958774014136765
62,lawiki,132467,132360,0.9991922516551291
63,vowiki,124301,124269,0.9997425603977442
64,commonswiki,117905,91072,0.7724184724990458
65,metawiki,112255,1227,0.010930470803082269
66,cywiki,111911,111366,0.9951300587073657
67,mkwiki,105020,104568,0.9956960578937345
68,astwiki,101584,101270,0.9969089620412663
69,tgwiki,100823,99768,0.98953611775091
70,lvwiki,100822,100679,0.9985816587649521
71,mgwiki,92858,92709,0.9983953994270822
72,afwiki,89756,89683,0.9991866838985695
73,ttwiki,89256,88946,0.9965268441337277
74,ocwiki,88436,88169,0.9969808675200145
75,sqwiki,87368,86338,0.9882107865580075
76,bnwiki,85219,83552,0.9804386345767963
77,bswiki,82388,82146,0.9970626790309268
78,kywiki,80719,80588,0.9983770859401132
79,zh_yuewiki,80022,79907,0.9985628952038189
80,newwiki,72953,72853,0.9986292544514962
81,tlwiki,72094,71979,0.9984048603212473
82,tewiki,70369,69791,0.9917861558356663
83,be_x_oldwiki,69448,69327,0.9982576892063126
84,mlwiki,69436,68792,0.9907252721930987
85,brwiki,67988,67893,0.9986026945931635
86,pmswiki,64664,64650,0.9997834962266485
87,ndswiki,62357,62104,0.9959427169363504
88,suwiki,60086,55884,0.9300669041041174
89,htwiki,59349,59254,0.9983992990614837
90,lbwiki,58035,57892,0.9975359696734729
91,swwiki,57936,57512,0.9926815796741232
92,jvwiki,57806,57202,0.9895512576549147
93,mrwiki,57491,56181,0.9772138247725731
94,scowiki,56973,56886,0.9984729608762045
95,pnbwiki,53257,52816,0.9917193983889442
96,gawiki,52562,52523,0.9992580191012519
97,szlwiki,52055,51610,0.9914513495341466
98,bawiki,51522,51438,0.9983696285082101
99,iswiki,49463,49150,0.993672037684734
100,mywiki,48578,48235,0.9929391905800979
101,fywiki,43625,43566,0.9986475644699141
102,cvwiki,42905,42795,0.9974361962475236
